commit	total_speedup	status	description
713041b	3.09	keep	baseline — ThreadPoolExecutor FIRST_COMPLETED polling
272b5ff	3.39	keep	event-driven callbacks, drop FIRST_COMPLETED poll loop
d3f4801	3.49	keep	inline chain execution — execute one successor in same thread
09e9735	3.51	keep	critical-path priority for inline task selection
aa1d725	3.52	keep	write results outside lock, use max() for inline selection
9a92a25	3.53	keep	custom thread pool with SimpleQueue, no Future overhead
cadf82d	3.63	keep	3x cpu_count workers
9a92a25	3.53	discard	custom thread pool with SimpleQueue, no Future overhead (reverted, now part of later exps)
aa1d725	3.52	discard	write results outside lock (reverted)
09e9735	3.51	discard	critical-path priority for inline task selection (reverted)
d3f4801	3.49	discard	inline chain execution — superseded by later exps
49db1aa	3.54	keep	persistent pool + pre-sort dependents
dba124f	3.61	keep	persistent pool, no pre-sort, keep max() inline selection
67d9d99	3.48	discard	cache critical dict across trials — within noise, not worth complexity
